id,name,content,day,starttime,people,influencer_id
1,ブルベ夏さんの透明感×オフィスメイク,"今回は、ブルべ夏さんへ向けたオフィスメイクを紹介します。
オフィスでも使えるかつ、ブルベサマーさんの透明感を際立たせるコスメたちを紹介します！
参加者様のお顔立ち別にメイクアドバイスもいたしますので、ぜひご参加ください♪",2023-2-20,19:00:00,3,1
2,プチプラだけ！絶対崩したくない日のメイク,"汗やマスクにも負けない、パンダ目にもならない、崩れ知らずのメイクをご紹介します！
プチプラでも十分崩れないメイクができます✨
乾燥肌・脂性肌・混合肌など、肌質別におすすめアイテムを紹介します💓",2023-2-26,12:00:00,4,2
3,日本人でも似合う海外セレブ風メイク,"今回は、「海外セレブ風メイク」のご紹介です。

今回紹介させていただいた海外セレブメイクはLAスタイル風のルックです♡
季節問わず挑戦して欲しい、テラコッタメイクのご紹介ですので、今から練習して街で輝きを放つ美女になって頂きたいです♡

日本でもっと海外メイクを楽しむ女性が増えて欲しいなと常日頃思っておりますので、是非皆さんトライしてみてくださいね！",2023-2-18,14:00:00,5,3
4,超敏感肌の私が毎日愛用しているオーガニックコスメを紹介,"オーガニックコスメを使った普段メイクを紹介しました♥︎
to/one・ナチュラグラッセ・MIMC・Fオーガニック・アネリアナチュラル などのメイクアイテムの中から手放せないコスメを紹介するので、気になる方はぜひ参加してみてください⭐️🌿",2023-2-22,16:00:00,3,4
5,【これさえ掴めば失敗しない！】垢抜けたい人がやるべき簡単メイクテク6選,"メイクやパーツへの悩みが一気に解決する、簡単メイクテクをご紹介します！
少しの工夫を加えるだけで、コンプレックスを隠したり肌悩みを綺麗にカバーできるんです。

参加していただいた方には、事前に質問フォームからメイクにおける悩みを送っていただければ解消方法を簡単にご紹介させていただきます！",2023-2-28,19:00:00,4,5
6,【最新30代メイク】若い頃のメイクのままじゃない？プロが教える30代が垢抜けるための見直しメイク,"10代、20代にしていたメイクを、30代以降もそのまましているあなた！！
３０代以降は、筋肉や肌のハリやなどの変化もあり、
メイクを見直してみる必要があります！
少しもトレンドを意識するだけで
垢抜けた印象にも見えますよ♡

何か少しでも参考になれたら幸いです♡",2023-2-19,16:00:00,5,6
7,人中が短く見える・間延び解消メイクテクニックのご紹介,"中顔面が伸びてしまっていると老け見え印象に繋がってしまいます。
ただの中顔面を短縮するメイクではなく、肌のクオリティーもぐんとあげるテクニックになりますので、是非参考にしてください〜🤍",2023-2-21,20:00:00,3,7
8,【裸眼・奥二重】自然に目を縦に大きくみせる方法,"奥二重さん、一重さんは暗いカラーはあまり使わず明るいアイシャドウをメインカラーとしてメイクするのがコツ！

参加者様一人ひとりにメイクアドバイスもいたします🙆‍♀️",2023-2-28,20:00:00,4,8
9,酒さや毛細血管拡張症の方向け。赤ら顔を綺麗にカバーするメイクテクを紹介,"赤みが気になる方必見です。

どんなにファンデで隠しても、時間が経てば赤みが出てくる方へアドバイスします。",2023-2-23,13:00:00,5,9
10,【ブライダルメイクのコツ】セルフメイクでも自分史上最大のカワイイを引き出す！,"最近はセルフでブライダルメイクをする方も増えていると思います。
ブライダルメイク歴5年以上の私が、セルフ派さんに絶対教えたいブライダルメイクのコツをお伝えします💓",2023-2-18,11:00:00,3,10
11,ブルベサマーさんでも似合う！透明感溢れるオレンジメイク,"オレンジメイクしたいけど難しいというお悩みやリクエストをブルベさんから沢山いただくので…
ブルベさんはやっぱり正直オレンジメイクはほとんどの方が苦手です🥲ですが！！
サマーさんでも使うコスメの選び方さえ押さえれば、オレンジメイクができちゃうんです！
ぜひご参加ください✨",2023-3-1,19:00:00,4,11
12,パーソナルカラー診断,"今回のカウンセリングでは、オンライン上ではありますが、パーソナルカラー診断をさせていただきます😻
パーソナルカラーって特にコスメとかにはずいぶん浸透してきたけど、正しく理解しているかって言われると、意外と自信なかったりしませんか？
プロ診断士の私と一緒に、正しく自分のパーソナルカラーと向き合って、いろんな色を楽しんでみてください☺️

※あくまで診断結果はオンライン上のものになりますのでご了承くださいませ",2023-2-23,11:00:00,5,12
13,NMIXXソリュンちゃんモノマネメイク,"K-POP第4世代No.1ビジュアルを誇るNMIXXソリュンちゃんに限りなく近づけるメイク術のご紹介✨
めっちゃ盛れるので普段メイクでもアリかも！？",2023-3-3,12:00:00,3,13
14,顔タイプアクティブキュートさんの魅力を引き立たせる！診断士が直接メイクアドバイスします,"顔タイプ「アクティブキュート」について、顔タイプアドバイザー1級の私が、徹底解説します！
アクティブキュートさんの魅力を引き出すおすすめコスメの紹介も♪
直接メイクアドバイスもいたしますので、お気軽にご参加くださいませ🌟",2023-2-26,13:00:00,4,14
15,ナチュラルコスメで作るバレンタインメイク💌🍫,"お肌に優しいナチュラルコスメを使って、バレンタインにぴったりなシーズンメイクを紹介します。
普段のメイクに取り入れやすいピンク×ブラウンのコスメを中心に紹介します♪
参考になったらうれしいです🤎",2023-2-19,13:00:00,5,15
16,イエベさんへ向けた透明感爆発メイク,"イエベさんでもコスメ選びに少しの工夫を加えれば透明感は出せちゃうんです！
洗練された女優さんの雰囲気を皆さんも纏ってくださいね〜！",2023-2-20,19:00:00,3,16
17,プチプラコスメを使って春メイク,"今回は、2000円以下のプチプラコスメだけで春メイクをご紹介します。
新作アイテムもつかいつつ、前から持っているお気に入りのプチプラアイテムも使用しているのでぜひ最後までご参加ください♪",2023-3-4,11:00:00,4,17
18,強すぎない！日本人の顔にも似合う中国メイク,"中国メイクはとにかく可愛すぎて写真盛れもすごい🥲✨
というわけで、
出来るだけバズっている画像たちを
無加工でも再現できるようにメイクしてみました🧚‍♀️
ぜひ真似してみてね！日本人の顔にも自然に溶け込む、中国メイクを紹介します！",2023-2-25,17:00:00,5,18
19,忙しい朝に。5分で完成させる出来る女のフルメイク,"少しちゃんとしつつも
簡単パパッとできる！をコンセプトに考えてみました。ある意味リアルかも？

忙しいママさんや、ギリギリまで寝ていたい方毎日のオフィスメイクにも使えるのでぜひ最後までご参加ください♪

カウンセリングの後半はお話会を予定しています💓",2023-3-1,17:00:00,3,19
20,一重さん向け、目が倍大きく見えるアイメイク,"人気のデカ目メイクの企画の一重さんverです！
一重だから目を大きく見せることは諦めてる・・ そんな方に是非みて頂きたいテクニックになっております！

一重さん以外の方も参考になるように、いろんなテクニックを伝えております！
ピンクを使ったのに、甘すぎないメイクになっておりますので、
是非皆さん参考にしてみてくださいね♡",2023-2-18,12:00:00,4,20
21,SNSで話題、とことん盛れる純欲メイク,"純欲メイクとは、少女のような可愛らしさと大人っぽい色気を兼ね備えたメイクのこと🤍

SNS映えも必須だけど、現実世界でも使えるようなメイクに落とし込みましたので、是非参考にしてくださいね〜🤍",2023-3-4,14:00:00,5,21
22,第一印象100点満点!可愛すぎる好印象メイク,"新学期へ向けて、好印象間違いなしの王道メイクを紹介します！

上質で上品な雰囲気というものは、メーキャップで作り上げることが実はできます。
今回のメイクはどんな顔立ち、何歳の方でも役立つメイクテクニックになりますので、是非試してみてください♡",2023-2-22,16:00:00,3,22
23,本当は隠したい、でも紹介したい！優秀すぎる最新韓国コスメを紹介します,"まだあまり知られていない、日本味上陸の韓国コスメを紹介します㊙️
韓国コスメ初心者の方や、次のQoo10メガ割で何を買おうか悩んでいる方にもおすすめしたコスメばかりなので、参考にしていただければうれしいです✨
カウンセリングの後半は日本未上陸の韓国コスメを手に入れる方法など情報も発信しますのでお楽しみに😀",2023-2-27,19:00:00,4,23
24,最強の崩れないメイク,"プチプラ・デパコス縛りなし！
365日メイクする私が厳選した、どんな季節・シチュエーションでも崩れないコスメたちを紹介しちゃいます✨",2023-2-19,14:00:00,5,24
25,学生さんは見て欲しい、オールキャンメイクのすっぴん風メイク,"キャンメイクのアイテムを使って、学校でもバレない、でもすっぴんが盛れるメイクを紹介します💖
髪型や服のテイストに合わせてぜひやってみてください！結構雰囲気変わります！",2023-2-26,14:00:00,3,25
26,黒髪でもやぼったくならない、黒髪清楚メイク,"黒髪って最高〜！！！💖
黒髪民の私が、良さを最大限に引き立たせるメイクを紹介します⭐️
重くならず、清楚な雰囲気をGETできるメイクです💌
スクールメイクにも使えるので、ぜひ参考にしてください♪",2023-2-25,10:00:00,4,26
27,ブルベ冬さんにおすすめ!ふんわり冬のニュアンスメイク,"バキッとした印象になりがちのブルベ冬さんでも出来るニュアンスメイクのご紹介⛄️
コントラストをはっきりつけることで魅力を引き出せる「ブルベ冬」さんにとっては、ニュアンスメイクって結構難易度高いんじゃないでしょうか？

そもそも「ニュアンスメイク」って
メイクさんやインフルエンサーさんがよく使っている「お洒落なワード」な気がしますよね❣️

でも実際どんな色を使って、
どうやってメイクしたらいいのか分からない！という方も多いのではないでしょうか？

今回は、ニュアンスメイクの基本のやり方とブルベ冬さん向けのメイク方法やアイテム選びを私なりにまとめてみました✨

ご質問等ございましたら、事前に質問フォームへお送りください！",2023-3-5,13:00:00,5,27
